Tamanho,Tempo,Algoritmo
118,0.00029699099832214415,Divisão e Conquista
118,0.0007757290004519746,Força Bruta
118,0.00030255899764597416,Divisão e Conquista
127,0.0008365019966731779,Força Bruta
127,0.0003582800018193666,Divisão e Conquista
127,0.0008338679981534369,Força Bruta
127,0.0003777009987970814,Divisão e Conquista
127,0.0008350290008820593,Força Bruta
127,0.0003447439994488377,Divisão e Conquista
127,0.0008422200007771607,Força Bruta
127,0.00035233299786341377,Divisão e Conquista
127,0.0008444069972028956,Força Bruta
127,0.00034122400029446,Divisão e Conquista
127,0.0008464279999316204,Força Bruta
127,0.0004297420018701814,Divisão e Conquista
127,0.0016010860017559025,Força Bruta
127,0.0003756259975489229,Divisão e Conquista
127,0.0010753470014606137,Força Bruta
127,0.00034738500107778236,Divisão e Conquista
127,0.0008314449987665284,Força Bruta
127,0.00037315300141926855,Divisão e Conquista
127,0.0008418190009251703,Força Bruta
127,0.00035426999966148287,Divisão e Conquista
127,0.0008355850004591048,Força Bruta
127,0.00033897400135174394,Divisão e Conquista
127,0.0008328010007971898,Força Bruta
127,0.00036432699926081114,Divisão e Conquista
127,0.0008307659991260152,Força Bruta
127,0.0003484640001261141,Divisão e Conquista
136,0.0009587849999661557,Força Bruta
136,0.00038894099998287857,Divisão e Conquista
136,0.0009550229988235515,Força Bruta
136,0.0003934089982067235,Divisão e Conquista
136,0.0009591249981895089,Força Bruta
136,0.00037032299951533787,Divisão e Conquista
136,0.0009576980010024272,Força Bruta
136,0.00038051599767641164,Divisão e Conquista
136,0.0014978670005802996,Força Bruta
136,0.00043006699706893414,Divisão e Conquista
136,0.0013168769983167294,Força Bruta
136,0.0003807780012721196,Divisão e Conquista
136,0.0012828289982280694,Força Bruta
136,0.0007156050014600623,Divisão e Conquista
136,0.0011039620003430173,Força Bruta
136,0.00040382500083069317,Divisão e Conquista
136,0.0009552730007271748,Força Bruta
136,0.0003998499996669125,Divisão e Conquista
136,0.0009553519994369708,Força Bruta
136,0.0004020140004286077,Divisão e Conquista
136,0.0009574299983796664,Força Bruta
136,0.0003897720016539097,Divisão e Conquista
136,0.0009572989984008018,Força Bruta
136,0.00038154900175868534,Divisão e Conquista
136,0.0009963039992726408,Força Bruta
136,0.0003908949984179344,Divisão e Conquista
145,0.0010885929987125564,Força Bruta
145,0.00042479900002945215,Divisão e Conquista
145,0.0019548550008039456,Força Bruta
145,0.0013631850015372038,Divisão e Conquista
145,0.0011162230002810247,Força Bruta
145,0.0003948070007027127,Divisão e Conquista
145,0.0013931439971202053,Força Bruta
145,0.00038728599975002,Divisão e Conquista
145,0.0012116270008846186,Força Bruta
145,0.00043318900134181604,Divisão e Conquista
145,0.001115145001676865,Força Bruta
145,0.0004196379995846655,Divisão e Conquista
145,0.00109913000051165,Força Bruta
145,0.00039950300197233446,Divisão e Conquista
145,0.001263508002011804,Força Bruta
145,0.00038679099816363305,Divisão e Conquista
145,0.001115527000365546,Força Bruta
145,0.00038670600042678416,Divisão e Conquista
145,0.0011022389990102965,Força Bruta
145,0.00040870399971026927,Divisão e Conquista
145,0.0013234180005383678,Força Bruta
145,0.00039935300083016045,Divisão e Conquista
145,0.0011727540004358161,Força Bruta
145,0.0007043469995551277,Divisão e Conquista
145,0.001167041998996865,Força Bruta
145,0.00042498300172155723,Divisão e Conquista
154,0.001358723999146605,Força Bruta
154,0.00042173399924649857,Divisão e Conquista
154,0.0012351040022622328,Força Bruta
154,0.00042431299880263396,Divisão e Conquista
154,0.001237126998603344,Força Bruta
154,0.0004278590022295248,Divisão e Conquista
154,0.0014363369991770014,Força Bruta
154,0.00043423300303402357,Divisão e Conquista
154,0.0014287699996202718,Força Bruta
154,0.00040245700074592605,Divisão e Conquista
154,0.0013910339985159226,Força Bruta
154,0.0005707969976356253,Divisão e Conquista
154,0.0013328919994819444,Força Bruta
154,0.00043623099918477237,Divisão e Conquista
154,0.001488783000240801,Força Bruta
154,0.0004379580022941809,Divisão e Conquista
154,0.0012425100030668546,Força Bruta
154,0.0004212549974909052,Divisão e Conquista
154,0.0014202130005287472,Força Bruta
154,0.0004179319985269103,Divisão e Conquista
154,0.0013862439991498832,Força Bruta
154,0.00041972600229200907,Divisão e Conquista
154,0.0013385829988692421,Força Bruta
154,0.0004152490000706166,Divisão e Conquista
154,0.0012481910016504116,Força Bruta
154,0.0004409360008139629,Divisão e Conquista
163,0.0014944809990993235,Força Bruta
163,0.000476965000416385,Divisão e Conquista
163,0.0017862989989225753,Força Bruta
163,0.00044304399852990173,Divisão e Conquista
163,0.0015728399994259235,Força Bruta
163,0.00044219599658390507,Divisão e Conquista
163,0.001618152000446571,Força Bruta
163,0.0004365800014056731,Divisão e Conquista
163,0.0013748400015174411,Força Bruta
163,0.0004423259997565765,Divisão e Conquista
163,0.001376408003125107,Força Bruta
163,0.00046813399967504665,Divisão e Conquista
163,0.0014584139971702825,Força Bruta
163,0.000416954997490393,Divisão e Conquista
163,0.00137885200092569,Força Bruta
163,0.0004771569983859081,Divisão e Conquista
163,0.0013803689980704803,Força Bruta
163,0.00046372900033020414,Divisão e Conquista
163,0.0016148859976965468,Força Bruta
163,0.0004318650026107207,Divisão e Conquista
163,0.0014020529997651465,Força Bruta
163,0.000446119000116596,Divisão e Conquista
163,0.0016021550000004936,Força Bruta
163,0.00046731100155739114,Divisão e Conquista
163,0.0013734640015172772,Força Bruta
163,0.00044929700015927665,Divisão e Conquista
172,0.0015219799970509484,Força Bruta
172,0.00046475600174744613,Divisão e Conquista
172,0.001520312001957791,Força Bruta
172,0.00046926000140956603,Divisão e Conquista
172,0.0015172790008364245,Força Bruta
172,0.00048076300299726427,Divisão e Conquista
172,0.0015221100002236199,Força Bruta
172,0.0004551429992716294,Divisão e Conquista
172,0.0018631920029292814,Força Bruta
172,0.00045178100117482245,Divisão e Conquista
172,0.0017248969998036046,Força Bruta
172,0.0004901180000160821,Divisão e Conquista
172,0.0015234249985951465,Força Bruta
172,0.0004902180007775314,Divisão e Conquista
172,0.001523097998870071,Força Bruta
172,0.00044014900049660355,Divisão e Conquista
172,0.001520005000202218,Força Bruta
172,0.0004610010000760667,Divisão e Conquista
172,0.0015362140002253,Força Bruta
172,0.0004527750024863053,Divisão e Conquista
172,0.0015279979998013005,Força Bruta
172,0.000468498001282569,Divisão e Conquista
172,0.0015253910023602657,Força Bruta
172,0.0004833230013900902,Divisão e Conquista
172,0.0017852269993454684,Força Bruta
172,0.0004901169995719101,Divisão e Conquista
181,0.0018868059996748343,Força Bruta
181,0.0004807329969480634,Divisão e Conquista
181,0.0016906540004129056,Força Bruta
181,0.000492756997118704,Divisão e Conquista
181,0.0016876080007932615,Força Bruta
181,0.0004956760021741502,Divisão e Conquista
181,0.001697539999440778,Força Bruta
181,0.00047612300113542005,Divisão e Conquista
181,0.0016992559976642951,Força Bruta
181,0.0004810940008610487,Divisão e Conquista
181,0.0017121399978350382,Força Bruta
